Song,Original artist/band,Proposed artist/band
We are Family,Sisters Sledge,ABBA
California Dreamin’,The Mamas & The Papas,ABBA
Nightlife,IAMX,Above and Beyond
Eyes of Suffering,Crematory,Acid Witch
Wrecking Ball,Miley Cirus,Adele
TMCR Grand Finale,The Pinker Tones,Air
Gold,Chect Faker,Alt-J
Crushcrushcrush,Paramore,Ashley Simpson
Galaxies,Laura Veirs,Aurora
Sprinter,Torres,Aurora
Believers,Not Fun At All,Bad Religion
Stillborn,Black Label Society,Black Sabbath
Painkiller,Mech,Black Sabbath
Starships,Nicki Minaj,Britney Spears
Siguiendo la Luna,Los Tipitos,Cerati
Girls and Boys,Blur,Chemical Brothers
Renegades,X Embassadors,Coldplay
Letters From The Sky,Civil Twilight,Coldplay
Deny,Dimension Zero,Darkest Hour
Hell is Within,Dimension Zero,Darkest Hour
Head over Heels,Tears for Fears,David Bowie
Call on Me,Eric Prydz,David Guetta
Coffee and TV,Blur,Death Cab for Cutie
Six Months In A Cast,The Trouble With Templeton,Death Cab for Cutie
New Millenium Jesus Cyanide,Meshuggah,Decapitated
Iron Strengthens Iron,Dyscarnate,Decapitated
Born to Be Wild,Steppenwolf,Deep Purple
You Spin Me Round,Dead or Alive,Depeche Mode
Shout,Tears for Fears,Depeche Mode
Slow,Partners in Crime,Depeche Mode
Bullet,Covenant,Depeche Mode
ESC – Prins Thomas Diskomiks,Lauer,Depeche Mode
Black Friday Rule,Flogging Molly,Dropkick Murphys
Love Tonight,Soulé,Dua Lipa
Don't Call Me Up,Mabel,Dua Lipa
Language,Betty Who,Dua Lipa
Off My Mind,RUTH,Ellie Goulding
Baby Did a Bad Bad Thing,Chris Isaak,Elvis Presley
Química,Banda de Turistas,Emmanuel Horvilleur
Safe and Sound,Capital Cities,Empire of the Sun
Shooting Stars,Bag Riders,Empire of the Sun
Get Away With It,Animal Kindom,Empire of the Sun
Cult of Personality,Living Colour,Faith No More
Mondo '77,Looper,Fat Boy Slim
Hurricane,MS MR,Florence + The Machine
